utime,available_distance,battery_level,brake,brake_switch,gear_position,left_signal,right_signal,rear_left_rpm,rear_right_rpm,steering,steering_speed,throttle,vehicle_speed,yaw_rate
1538984233625328.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,134.1072,117.7608,-192.79999999999973,1.8118839761882555e-13,22.0,14.81,-20.899999999999977
1538984234125050.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,134.8161,118.6782,-192.89999999999964,1.8118839761882555e-13,0.0,14.86,-20.299999999999983
1538984234625116.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,133.1898,116.1345,-189.89999999999964,21.900000000000272,29.0,14.66,-20.19999999999999
1538984235124877.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,133.1898,118.9284,-170.5999999999999,57.70000000000046,65.0,14.790000000000001,-18.599999999999966
1538984235624902.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,137.1513,122.4312,-131.5999999999999,89.60000000000055,81.0,15.17,-15.799999999999983
1538984236124836.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,140.1954,131.5218,-95.29999999999973,109.50000000000018,78.0,15.69,-12.599999999999966
1538984236624480.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,143.9484,138.1104,-45.09999999999991,125.50000000000018,74.0,16.16,-7.299999999999983
1538984237124743.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,146.2836,142.28040000000001,-28.09999999999991,13.900000000000272,4.0,16.54,-3.4999999999999716
1538984237624849.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,145.3245,143.9484,-25.299999999999727,1.9000000000002721,0.0,16.62,-3.1999999999999886
1538984238125467.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,144.8658,142.7391,-27.699999999999818,-23.99999999999982,0.0,16.57,-3.299999999999983
1538984238624804.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,143.6982,138.3189,-46.19999999999982,-51.79999999999954,0.0,16.16,-4.899999999999977
1538984239124594.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,143.448,134.1072,-71.69999999999982,-45.89999999999945,0.0,15.790000000000001,-8.099999999999966
1538984239625694.0,62.0,57.0,0.0,2.0,7.0,0.0,0.0,137.4015,128.7279,-102.29999999999973,-99.69999999999963,0.0,15.47,-10.399999999999977
1538984240125895.0,62.0,57.0,0.0,2.0,7.0,0.0,0.0,135.2748,123.5988,-162.0,-107.59999999999972,0.0,14.98,-15.499999999999972
1538984240625449.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,132.4809,114.5082,-207.0999999999999,-63.79999999999954,0.0,14.56,-20.99999999999997
1538984241124363.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,130.8546,113.0904,-218.0,-39.89999999999945,0.0,14.42,-22.399999999999977
1538984241624722.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,131.3133,110.29650000000001,-266.5999999999999,-119.59999999999972,96.0,14.34,-26.099999999999966
1538984242124780.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,138.7776,115.2171,-269.0999999999999,43.80000000000037,128.0,15.17,-29.399999999999977
1538984242624923.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,146.2836,125.0166,-223.79999999999973,111.50000000000018,161.0,15.97,-26.799999999999983
1538984243124539.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,150.91230000000002,138.3189,-111.59999999999991,247.00000000000017,167.0,16.7,-16.599999999999966
1538984243624442.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,153.2892,149.7447,-29.799999999999727,103.50000000000018,167.0,17.36,-5.299999999999983
1538984244124943.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,157.9596,157.70940000000002,-5.5,21.900000000000272,167.0,17.93,-0.6999999999999886
1538984244624446.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,160.96200000000002,162.8385,0.1000000000003638,7.900000000000272,179.0,18.55,-0.4999999999999716
1538984245124820.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,168.0093,166.383,3.800000000000182,7.900000000000272,182.0,19.12,2.842170943040401e-14
1538984245624707.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,172.638,174.306,3.100000000000364,-47.89999999999945,179.0,19.69,0.6000000000000227
1538984246124705.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,178.059,177.6003,-7.799999999999727,1.8118839761882555e-13,179.0,20.26,-1.1999999999999886
1538984246624974.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,184.5642,181.3116,-8.0,3.900000000000272,179.0,20.77,-1.1999999999999886
1538984247124997.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,186.6909,185.7318,-4.699999999999818,1.8118839761882555e-13,179.0,21.240000000000002,-1.1999999999999886
1538984247624954.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,189.2763,188.5674,-3.299999999999727,1.8118839761882555e-13,94.0,21.63,-0.5999999999999659
1538984248124588.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,187.3998,186.9411,-3.299999999999727,1.8118839761882555e-13,97.0,21.5,-0.8999999999999773
1538984248624705.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,184.3557,184.5642,-1.0,1.8118839761882555e-13,104.0,21.18,-0.19999999999998863
1538984249124750.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,180.144,179.6853,7.400000000000091,37.80000000000037,0.0,20.63,2.842170943040401e-14
1538984249624303.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,167.3004,169.88580000000002,27.300000000000182,53.70000000000046,0.0,19.43,2.400000000000034
1538984250124915.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,152.5803,157.9596,63.5,63.70000000000046,0.0,18.04,6.100000000000023
1538984250625096.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,137.1513,145.8249,107.30000000000018,85.60000000000055,42.0,16.51,10.500000000000028
1538984251124399.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,125.934,136.9428,151.30000000000018,89.60000000000055,68.0,15.39,14.900000000000034
1538984251624706.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,117.0519,132.4809,205.5,157.30000000000035,102.0,14.72,18.30000000000001
1538984252124677.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,108.16980000000001,128.4777,247.10000000000036,23.900000000000272,114.0,14.24,24.200000000000017
1538984252624904.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,105.1674,124.0575,250.80000000000018,1.8118839761882555e-13,146.0,13.72,23.30000000000001
1538984253125091.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,103.99980000000001,123.1401,249.0,-15.999999999999819,156.0,13.56,23.30000000000001
1538984253624820.0,62.0,57.0,0.0,1.0,7.0,0.0,0.0,108.16980000000001,124.0575,189.30000000000018,-175.39999999999947,169.0,13.67,19.600000000000023
