utime,FL_wheel_speed,FR_wheel_speed,RL_wheel_speed,RR_wheel_speed,longitudinal_accel,odom_speed,odom,meanEffTorque,pedal_cc,regen,requestedTorqueAfterProc,transversal_accel,left_solar,right_solar,steer_corrected,steer_offset_can,steer_raw
1542800987951809.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800987963016.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800987971926.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.89999999999964,-13.300000000000182,-305.1999999999998
1542800987988470.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.89999999999964,-13.300000000000182,-305.1999999999998
1542800987992241.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988002967.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988012616.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988022974.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988031894.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988042992.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988051841.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.89999999999964,-13.300000000000182,-305.1999999999998
1542800988064045.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988071702.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988082792.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988092120.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988102931.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988111788.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988122887.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988132314.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988142766.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,48.0,7.5,0.0,0.0,-374.5,-0.539999999999992,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988152384.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.89999999999964,-13.300000000000182,-305.1999999999998
1542800988162930.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5360000000000014,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988175117.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5320000000000107,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
1542800988182827.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,48.0,7.5,0.0,0.0,-374.5,-0.5320000000000107,0.0,0.0,-291.7999999999997,-13.300000000000182,-305.0999999999999
