range,azimuth,vr,rcs,vr_comp,x_cc,y_cc,x_seq,y_seq,label_id
8.040829,-0.47397095,-9.577179,-23.245346,-0.079753846,7.939403,7.6823535,307.8905,-1808.4429,11.0
8.122678,-0.5058808,-9.98473,-24.280657,-0.011994299,8.200194,7.6103406,307.94342,-1808.1775,11.0
8.483308,-0.49012572,-9.750081,-16.251179,-0.010784588,8.290194,7.9832463,307.56497,-1808.1147,11.0
8.778233,-0.610564,-11.509628,-15.05723,-0.051393915,9.300351,7.6018667,307.87216,-1807.0796,11.0
8.820027,-0.5026794,-10.046059,-26.362158,-0.12055816,8.566277,8.204491,307.3243,-1807.8555,11.0
9.510851,-0.66198105,-12.126586,-16.984718,0.016295757,10.137452,7.839905,307.57407,-1806.262,11.0
10.94315,-0.8265637,-14.0880375,-24.20496,0.022189626,12.325176,7.560244,307.69446,-1804.0597,11.0
5.87282,-0.092116676,-3.3576956,-24.562195,-0.15239492,4.7081275,6.6520762,309.15222,-1811.591,11.0
5.954541,-0.19009198,-5.0009937,-25.314976,-0.09877857,5.290756,6.600737,309.1612,-1811.0061,11.0
6.0728717,-0.12632301,-3.8200088,-17.940777,-0.017928027,4.9474716,6.8084784,308.97888,-1811.3635,11.0
5.5967913,0.27264673,3.2010467,-21.054564,-0.048958607,2.6288118,6.3734117,309.58084,-1813.6447,11.0
5.6586266,0.23712815,2.595362,-21.269617,-0.0312748,2.815529,6.4678054,309.47318,-1813.4652,11.0
5.6763883,0.24822071,2.8818748,-20.213583,0.060165275,2.750667,6.4755917,309.4701,-1813.5305,11.0
5.878433,0.3233504,4.115904,-19.388006,-0.016679363,2.2853656,6.5877266,309.39197,-1814.0027,11.0
5.87996,0.06017325,-0.5411364,-11.211596,-0.028430987,3.8195243,6.7508764,309.11807,-1812.4844,11.0
6.013485,0.08531082,-0.1248344,-20.764273,-0.059400044,3.6719332,6.8864784,308.99353,-1812.6414,11.0
6.014365,0.35613397,4.6566234,-16.880901,-0.041097112,2.0626197,6.6705313,309.32553,-1814.2308,11.0
6.712478,0.059076104,-0.5625264,9.871027,-0.03030492,3.8490477,7.582899,308.2861,-1812.5153,11.0
7.434432,0.29230374,3.630432,-22.20397,0.03714868,2.145901,8.150993,307.84293,-1814.2551,11.0
7.9567814,0.5425221,7.763616,-23.332407,-0.033506647,0.16110854,8.017727,308.11966,-1816.225,11.0
8.26962,0.5414085,7.881522,-24.335066,0.102217935,0.031694926,8.302687,307.84485,-1816.3748,11.0
13.314421,0.09518831,-1.0968548,-14.584332,-1.2071971,3.5512674,14.186952,301.721,-1813.2908,11.0
7.804442,0.5990003,8.654708,-21.1268,-0.032965917,-0.1619534,7.6758704,308.48404,-1816.5225,11.0
7.8397546,0.6100134,8.861822,-19.88063,0.0036331513,-0.25428554,7.6639223,308.50266,-1816.6136,11.0
8.105252,0.66202074,9.676106,-18.442974,0.027553504,-0.7464444,7.673876,308.52838,-1817.1052,11.0
8.275162,0.68892217,10.001356,-21.012417,-0.04591563,-1.0240164,7.6928377,308.5296,-1817.3834,11.0
8.377387,0.7176211,10.485456,-16.786098,0.020847097,-1.2780747,7.638087,308.6026,-1817.6329,11.0
8.838363,0.75123227,10.993075,-15.482378,0.0506754,-1.7868686,7.8311315,308.44693,-1818.1543,11.0
9.151434,0.72494835,10.646343,-14.113519,0.07654822,-1.7886205,8.223413,308.05582,-1818.1844,11.0
13.631786,0.39959565,2.7965343,-24.085905,-2.642513,-0.5318181,13.843316,302.35962,-1817.3383,11.0
9.454107,0.8363931,12.233911,-2.4212723,0.13746434,-2.7784963,7.793063,308.55676,-1819.1406,11.0
14.401352,0.6250472,6.295194,-23.826414,-2.7940223,-3.7196364,13.238097,303.19424,-1820.4739,11.0
11.011597,0.9645722,13.806095,-15.93889,0.14041986,-4.80844,7.907911,308.58932,-1821.1735,11.0
11.461459,0.9868106,14.11218,-12.895878,0.19640754,-5.3151712,7.997429,308.53677,-1821.6854,11.0
11.755618,1.0063066,14.231468,-11.19935,0.1020983,-5.6863003,7.99937,308.56174,-1822.0557,11.0
18.878809,0.85197973,12.416237,-7.0448093,0.11782594,-9.413771,14.489442,302.35883,-1826.2437,11.0
28.107073,-0.662054,-12.196121,-14.846738,-0.05229026,22.798216,21.460644,293.07166,-1794.6216,11.0
24.342943,-0.43909457,-8.892598,-15.999258,0.07428569,15.882762,21.926653,293.10803,-1801.5526,11.0
24.848959,-0.4757845,-9.358906,-15.068781,0.1657968,16.916716,21.892271,293.06738,-1800.5189,11.0
24.883898,-0.4532258,-9.105861,-14.770948,0.0773391,16.45718,22.21585,292.77795,-1801.0006,11.0
37.968647,-0.29357615,-6.7320514,-14.017668,-0.0888932,17.759483,36.12789,278.8081,-1800.71,11.0
36.467148,-0.282156,-6.383838,-18.753536,0.070352025,16.814457,34.886116,280.1151,-1801.5625,11.0
37.510918,-0.2862404,-6.4585238,-18.440742,0.063348696,17.333668,35.8041,279.16193,-1801.1112,11.0
34.47176,-0.13921358,-4.326108,-19.945948,-0.300249,11.387801,34.468082,280.9253,-1806.9446,11.0
34.390057,-0.11602126,-3.9126897,-20.858997,-0.28990194,10.590189,34.55816,280.89325,-1807.7466,11.0
19.498384,0.060916,-0.48758373,-22.689611,0.011909206,4.1675687,20.364855,295.51468,-1813.1238,11.0
23.852232,0.047743402,-0.64487106,-17.923119,0.088895634,4.5942636,24.707045,291.15298,-1813.013,11.0
23.878891,0.0737026,-0.39265776,-18.40522,-0.120656975,3.9756553,24.749844,291.15512,-1813.6329,11.0
27.00686,0.5190035,7.4810166,-14.673724,0.062234547,-7.6495256,25.396402,291.3527,-1825.2744,11.0
27.288807,0.49909782,7.051649,-19.569868,-0.043698147,-7.2721434,25.875032,290.848,-1824.9327,11.0
38.58507,0.5645298,0.8835643,-13.855479,-7.263692,-14.077165,35.13806,282.10245,-1832.3911,11.0
22.566202,0.666889,9.818315,-17.012459,0.09708117,-8.705567,19.747639,297.06314,-1825.9183,11.0
26.873373,0.6477364,9.43546,-11.687227,0.0014795971,-10.633162,23.628174,293.3325,-1828.1221,11.0
23.35133,0.72417206,10.624745,-9.8158655,0.066067405,-10.233107,19.639534,297.28165,-1827.4341,11.0
24.74357,0.6987568,10.210569,-11.3199215,0.01933369,-10.551518,21.12619,295.822,-1827.8594,11.0
25.220766,0.7874688,11.512179,-12.034221,0.068531305,-12.597631,20.151976,296.94193,-1829.8295,11.0
