utime,value
1533151603556190.0,-0.15875298641951802
1533151603565872.0,-0.16398897417549624
1533151603576159.0,-0.16747963267948965
1533151603585575.0,-0.17271562043546787
1533151603596163.0,-0.1762062789394613
1533151603605789.0,-0.17969693744344678
1533151603616388.0,-0.18318759594743228
1533151603625430.0,-0.1866782544514257
1533151603635785.0,-0.18842358370341844
1533151603646111.0,-0.1919142422074039
1533151603655456.0,-0.19540490071139735
1533151603665501.0,-0.19889555921538282
1533151603676090.0,-0.20238621771937623
1533151603686356.0,-0.20413154697136898
1533151603696366.0,-0.20587687622336173
1533151603706191.0,-0.20762220547535448
1533151603715478.0,-0.2093675347273472
1533151603725843.0,-0.21285819323134064
1533151603736332.0,-0.21634885173532611
1533151603745894.0,-0.21809418098731886
1533151603755430.0,-0.21983951023931955
1533151603765722.0,-0.21983951023931955
1533151603776285.0,-0.22158483949131227
1533151603785656.0,-0.22333016874330502
1533151603796044.0,-0.22507549799529777
1533151603805373.0,-0.22507549799529777
1533151603815939.0,-0.2268208272472905
1533151603826360.0,-0.22856615649929118
1533151603836328.0,-0.23031148575128393
1533151603845512.0,-0.23031148575128393
1533151603855913.0,-0.23205681500327668
1533151603865436.0,-0.23205681500327668
1533151603875794.0,-0.23205681500327668
1533151603886303.0,-0.2338021442552694
1533151603895850.0,-0.23554747350726216
1533151603906170.0,-0.23729280275926284
1533151603916318.0,-0.23903813201125557
1533151603925948.0,-0.24078346126324832
1533151603936285.0,-0.24252879051524107
1533151603946919.0,-0.24427411976723382
1533151603956064.0,-0.24601944901923448
1533151603965592.0,-0.24776477827122723
1533151603976244.0,-0.2512554367752127
1533151603986258.0,-0.25474609527920616
1533151603996083.0,-0.2564914245311989
1533151604005617.0,-0.2582367537831916
1533151604015855.0,-0.2599820830351844
1533151604026227.0,-0.2617274122871771
1533151604035875.0,-0.26521807079117055
1533151604045966.0,-0.26870872929515605
1533151604058121.0,-0.27219938779914943
1533151604065607.0,-0.2739447170511422
1533151604076640.0,-0.2774353755551277
1533151604086008.0,-0.27918070480712043
1533151604096048.0,-0.2809260340591211
1533151604105558.0,-0.2844166925631066
1533151604116218.0,-0.2879073510670921
1533151604126189.0,-0.29139800957108547
1533151604136184.0,-0.29488866807507097
1533151604145579.0,-0.2966339973270637
1533151604155932.0,-0.2966339973270637
1533151604165661.0,-0.30012465583105713
1533151604176164.0,-0.3018699850830499
1533151604185715.0,-0.30536064358703535
1533151604195325.0,-0.30710597283903607
1533151604205857.0,-0.3088513020910288
1533151604215419.0,-0.3088513020910288
1533151604225809.0,-0.3088513020910288
1533151604236057.0,-0.3105966313430215
1533151604245599.0,-0.3105966313430215
1533151604256152.0,-0.3123419605950143
1533151604266046.0,-0.314087289847007
1533151604276223.0,-0.314087289847007
1533151604285396.0,-0.314087289847007
1533151604295785.0,-0.314087289847007
1533151604306050.0,-0.314087289847007
1533151604315432.0,-0.31583261909900767
1533151604325166.0,-0.31757794835100045
1533151604335925.0,-0.31757794835100045
1533151604346115.0,-0.31583261909900767
1533151604356103.0,-0.31757794835100045
1533151604365849.0,-0.31757794835100045
1533151604375166.0,-0.31932327760299317
1533151604385412.0,-0.31932327760299317
1533151604396045.0,-0.31932327760299317
1533151604426078.0,-0.3210686068549859
1533151604435450.0,-0.3210686068549859
1533151604445857.0,-0.3210686068549859
1533151604455171.0,-0.3210686068549859
1533151604465108.0,-0.3210686068549859
1533151604475723.0,-0.3210686068549859
1533151604485316.0,-0.3210686068549859
1533151604496074.0,-0.3210686068549859
1533151604505533.0,-0.3210686068549859
1533151604515840.0,-0.3210686068549859
1533151604525324.0,-0.3210686068549859
1533151604535794.0,-0.3210686068549859
1533151604545365.0,-0.3210686068549859
1533151604555911.0,-0.3210686068549859
1533151604565619.0,-0.3210686068549859
1533151604576069.0,-0.3210686068549859
1533151604585783.0,-0.3210686068549859
1533151604596035.0,-0.3210686068549859
1533151604605305.0,-0.3210686068549859
1533151604615784.0,-0.3210686068549859
1533151604625367.0,-0.3210686068549859
1533151604636050.0,-0.3210686068549859
1533151604645874.0,-0.3210686068549859
1533151604655530.0,-0.3210686068549859
1533151604665102.0,-0.3210686068549859
1533151604677982.0,-0.3210686068549859
1533151604685768.0,-0.3210686068549859
1533151604695300.0,-0.3210686068549859
1533151604706071.0,-0.3210686068549859
1533151604716120.0,-0.3210686068549859
1533151604725557.0,-0.3210686068549859
1533151604736042.0,-0.3210686068549859
1533151604745180.0,-0.3210686068549859
1533151604755579.0,-0.3210686068549859
1533151604765072.0,-0.3210686068549859
1533151604775792.0,-0.31932327760299317
1533151604786034.0,-0.3210686068549859
1533151604796037.0,-0.3210686068549859
1533151604805187.0,-0.31932327760299317
1533151604815572.0,-0.31932327760299317
1533151604825100.0,-0.31932327760299317
1533151604835597.0,-0.31932327760299317
1533151604845189.0,-0.31932327760299317
1533151604855848.0,-0.31932327760299317
1533151604865593.0,-0.31932327760299317
1533151604875610.0,-0.31757794835100045
1533151604885054.0,-0.31757794835100045
1533151604895277.0,-0.31757794835100045
1533151604905554.0,-0.31757794835100045
1533151604915135.0,-0.31583261909900767
1533151604925777.0,-0.314087289847007
1533151604935940.0,-0.3123419605950143
1533151604945626.0,-0.3105966313430215
1533151604955066.0,-0.3105966313430215
1533151604965316.0,-0.3088513020910288
1533151604975605.0,-0.3088513020910288
1533151604985138.0,-0.30710597283903607
1533151604995726.0,-0.30536064358703535
1533151605006027.0,-0.30361531433504263
1533151605015116.0,-0.30361531433504263
1533151605025080.0,-0.30361531433504263
1533151605035304.0,-0.3018699850830499
1533151605045817.0,-0.3018699850830499
1533151605055485.0,-0.3018699850830499
1533151605065081.0,-0.30012465583105713
1533151605075641.0,-0.30012465583105713
1533151605085851.0,-0.2983793265790644
1533151605095851.0,-0.2983793265790644
1533151605105192.0,-0.2983793265790644
1533151605115442.0,-0.2983793265790644
1533151605124944.0,-0.2983793265790644
1533151605135473.0,-0.2983793265790644
1533151605145092.0,-0.2983793265790644
1533151605155579.0,-0.2983793265790644
1533151605164911.0,-0.2983793265790644
1533151605175353.0,-0.2983793265790644
1533151605185637.0,-0.2983793265790644
1533151605201892.0,-0.2983793265790644
1533151605205494.0,-0.2983793265790644
1533151605215139.0,-0.2966339973270637
1533151605225579.0,-0.2966339973270637
1533151605235811.0,-0.2966339973270637
1533151605245152.0,-0.2966339973270637
1533151605255495.0,-0.2966339973270637
1533151605265089.0,-0.29488866807507097
1533151605275648.0,-0.29488866807507097
1533151605285212.0,-0.29488866807507097
1533151605294806.0,-0.29314333882307825
1533151605305734.0,-0.29314333882307825
1533151605315715.0,-0.29139800957108547
1533151605325146.0,-0.29139800957108547
1533151605335409.0,-0.28965268031909275
1533151605345782.0,-0.28965268031909275
1533151605355373.0,-0.28965268031909275
1533151605364942.0,-0.28965268031909275
1533151605375296.0,-0.2879073510670921
1533151605385706.0,-0.2861620218150993
1533151605395165.0,-0.2844166925631066
1533151605405644.0,-0.2844166925631066
1533151605414997.0,-0.28267136331111387
1533151605426360.0,-0.28267136331111387
1533151605435462.0,-0.28267136331111387
1533151605445643.0,-0.28267136331111387
1533151605455363.0,-0.28267136331111387
1533151605464944.0,-0.27918070480712043
1533151605475357.0,-0.2774353755551277
1533151605485700.0,-0.27569004630313493
1533151605495222.0,-0.27569004630313493
1533151605505300.0,-0.27569004630313493
1533151605515799.0,-0.27569004630313493
1533151605525684.0,-0.2739447170511422
1533151605534939.0,-0.27045405854714877
1533151605546168.0,-0.26696340004316327
1533151605555064.0,-0.26696340004316327
1533151605565703.0,-0.26696340004316327
1533151605575189.0,-0.26521807079117055
1533151605584718.0,-0.26521807079117055
1533151605595660.0,-0.26521807079117055
1533151605604802.0,-0.26521807079117055
1533151605615173.0,-0.26521807079117055
1533151605625395.0,-0.26521807079117055
1533151605634676.0,-0.26521807079117055
1533151605645298.0,-0.26521807079117055
1533151605654851.0,-0.26696340004316327
1533151605665496.0,-0.26870872929515605
1533151605675099.0,-0.26870872929515605
1533151605685037.0,-0.26870872929515605
1533151605695333.0,-0.27219938779914943
1533151605705093.0,-0.2739447170511422
1533151605715511.0,-0.27569004630313493
1533151605725129.0,-0.27569004630313493
1533151605735612.0,-0.27569004630313493
1533151605745597.0,-0.2774353755551277
1533151605754829.0,-0.2774353755551277
1533151605765207.0,-0.27918070480712043
1533151605775434.0,-0.27918070480712043
1533151605785347.0,-0.2809260340591211
1533151605794886.0,-0.2809260340591211
1533151605804952.0,-0.2809260340591211
1533151605815081.0,-0.28267136331111387
1533151605824901.0,-0.28267136331111387
1533151605835213.0,-0.28267136331111387
1533151605844924.0,-0.28267136331111387
1533151605855394.0,-0.28267136331111387
1533151605864958.0,-0.28267136331111387
1533151605875547.0,-0.2844166925631066
1533151605885550.0,-0.2861620218150993
1533151605894622.0,-0.2861620218150993
1533151605904888.0,-0.2879073510670921
1533151605915167.0,-0.28965268031909275
1533151605925335.0,-0.28965268031909275
1533151605934918.0,-0.29139800957108547
1533151605945503.0,-0.29488866807507097
1533151605955088.0,-0.2966339973270637
1533151605965478.0,-0.2983793265790644
1533151605974928.0,-0.30012465583105713
1533151605985278.0,-0.30012465583105713
1533151605995546.0,-0.30012465583105713
1533151606005154.0,-0.30012465583105713
1533151606016318.0,-0.3018699850830499
1533151606024739.0,-0.3018699850830499
1533151606035498.0,-0.3018699850830499
