utime,FL_wheel_speed,FR_wheel_speed,RL_wheel_speed,RR_wheel_speed,longitudinal_accel,odom_speed,odom,meanEffTorque,pedal_cc,regen,requestedTorqueAfterProc,transversal_accel,left_solar,right_solar,steer_corrected,steer_offset_can,steer_raw
1533151603554190.0,270.5496,268.9233,269.6322,274.803,-0.6500000000000004,30.0,124.0,-29.5,0.0,59.0,-284.5,-0.5,-112.0,50.0,-8.895876106935784,-12.300000000000182,-20.59999999999991
1533151603564802.0,269.8407,269.8407,269.6322,274.803,-0.5499999999999989,30.0,124.0,-29.5,0.0,59.0,-284.5,-0.5039999999999907,-112.0,100.0,-9.095876106936057,-12.300000000000182,-20.800000000000182
1533151603574241.0,269.8407,269.8407,269.382,274.5528,-0.5499999999999989,30.0,124.0,-29.5,0.0,59.0,-284.5,-0.5039999999999907,-112.0,100.0,-9.395876106935784,-12.300000000000182,-21.09999999999991
1533151603584506.0,270.5496,269.1735,269.382,274.5528,-0.5999999999999996,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5120000000000005,-112.0,100.0,-9.595876106936057,-12.300000000000182,-21.300000000000182
1533151603594877.0,270.5496,269.1735,268.9233,273.3852,-0.5999999999999996,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5120000000000005,-112.0,100.0,-9.895876106935784,-12.300000000000182,-21.59999999999991
1533151603605078.0,269.6322,268.2144,268.9233,273.3852,-0.5499999999999989,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5039999999999907,-112.0,100.0,-10.095876106936057,-12.300000000000182,-21.800000000000182
1533151603614097.0,269.6322,268.2144,267.7557,273.5937,-0.5499999999999989,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5039999999999907,-112.0,100.0,-10.295876106935875,-12.300000000000182,-22.0
1533151603624521.0,268.9233,268.2144,267.7557,273.5937,-0.5499999999999989,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5240000000000009,-112.0,100.0,-10.495876106935693,-12.300000000000182,-22.199999999999818
1533151603633817.0,268.9233,268.2144,269.6322,272.6763,-0.5499999999999989,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5240000000000009,-112.0,100.0,-10.695876106935966,-12.300000000000182,-22.40000000000009
1533151603645140.0,268.9233,267.7557,269.6322,272.6763,-0.5999999999999996,30.0,60.0,-29.5,0.0,59.0,-284.5,-0.5240000000000009,-112.0,100.0,-10.795876106935875,-12.300000000000182,-22.5
