utime,brake_sensor,steering_sensor,throttle_sensor
1535385092151255.0,0.1841101199388504,0.2177281528711319,0.12424559891223907
1535385092152330.0,0.18410660326480865,0.21777541935443878,0.12448979914188385
1535385092153412.0,0.18410660326480865,0.21774783730506897,0.12435024976730347
1535385092154376.0,0.18410542607307434,0.2177439033985138,0.12454212456941605
1535385092155610.0,0.18410660326480865,0.21788570284843445,0.12478632479906082
1535385092156336.0,0.184110626578331,0.21798810362815857,0.1250828504562378
1535385092157312.0,0.18411700427532196,0.21784237027168274,0.12475144118070602
1535385092158300.0,0.18411868810653687,0.21762968599796295,0.12436769902706146
1535385092159513.0,0.1841123104095459,0.2177281528711319,0.12461189925670624
1535385092160502.0,0.1841227114200592,0.21770451962947845,0.12442002445459366
1535385092161481.0,0.18412037193775177,0.21788175404071808,0.12513518333435059
1535385092162469.0,0.18411113321781158,0.21778328716754913,0.1250130832195282
1535385092163445.0,0.1841139942407608,0.2176848202943802,0.12442002445459366
1535385092164459.0,0.18410761654376984,0.21766118705272675,0.12438514083623886
1535385092165410.0,0.18410241603851318,0.2177281528711319,0.12515263259410858
1535385092166399.0,0.18410997092723846,0.2177439033985138,0.12579801678657532
1535385092167618.0,0.18410997092723846,0.2176533192396164,0.12525728344917297
1535385092168585.0,0.18410997092723846,0.2176690697669983,0.12530961632728577
1535385092169332.0,0.18411633372306824,0.2177714705467224,0.12475144118070602
1535385092170387.0,0.18411633372306824,0.21775178611278534,0.12478632479906082
1535385092171444.0,0.18410761654376984,0.2178935706615448,0.12464678287506104
1535385092172417.0,0.1841052621603012,0.21781480312347412,0.12452468276023865
1535385092173381.0,0.18409888446331024,0.2179093360900879,0.12438514083623886
1535385092174365.0,0.1840965449810028,0.21785418689250946,0.12415838241577148
1535385092175359.0,0.18408899009227753,0.2179369032382965,0.12424559891223907
1535385092177233.0,0.18409419059753418,0.21796053647994995,0.12426304072141647
1535385092177399.0,0.18410342931747437,0.2179250866174698,0.12417582422494888
1535385092178295.0,0.18410107493400574,0.218011736869812,0.12452468276023865
1535385092179630.0,0.18410511314868927,0.21809838712215424,0.12492586672306061
1535385092180353.0,0.18410511314868927,0.21801961958408356,0.12473399937152863
1535385092181251.0,0.18410862982273102,0.21793296933174133,0.12436769902706146
1535385092182217.0,0.18411098420619965,0.21815353631973267,0.12489098310470581
1535385092183258.0,0.18411332368850708,0.21819685399532318,0.12522239983081818
1535385092184330.0,0.18411163985729218,0.21822048723697662,0.12536193430423737
1535385092185483.0,0.1841139942407608,0.21822836995124817,0.12536193430423737
1535385092186500.0,0.18411751091480255,0.2181023210287094,0.12473399937152863
1535385092187298.0,0.18411751091480255,0.21807081997394562,0.12464678287506104
1535385092188451.0,0.1841123104095459,0.21818503737449646,0.12551893293857574
1535385092189240.0,0.18410997092723846,0.21818503737449646,0.12543171644210815
1535385092190264.0,0.18410593271255493,0.2183307707309723,0.1249781996011734
1535385092191346.0,0.18410997092723846,0.2181180864572525,0.12454212456941605
1535385092192394.0,0.18410997092723846,0.21809838712215424,0.12421070784330368
1535385092193442.0,0.18411517143249512,0.21797235310077667,0.12431536614894867
1535385092194279.0,0.18412154912948608,0.21799598634243011,0.12469910830259323
1535385092195361.0,0.1841210424900055,0.21798810362815857,0.12424559891223907
1535385092201706.0,0.18412338197231293,0.2178778201341629,0.12380952388048172
1535385092201722.0,0.18412691354751587,0.2178187370300293,0.1240013986825943
1535385092201726.0,0.184128075838089,0.217862069606781,0.12415838241577148
1535385092201729.0,0.18412405252456665,0.21787388622760773,0.12422814965248108
1535385092201731.0,0.18412405252456665,0.21788175404071808,0.12440258264541626
1535385092201733.0,0.18412405252456665,0.21785025298595428,0.12429792433977127
1535385092202818.0,0.1841275691986084,0.21781086921691895,0.1240188404917717
1535385092203617.0,0.18413278460502625,0.2177872359752655,0.1240362823009491
1535385092204664.0,0.18413278460502625,0.21779905259609222,0.12435024976730347
1535385092205471.0,0.18413278460502625,0.21787388622760773,0.12469910830259323
1535385092206454.0,0.18413394689559937,0.21794478595256805,0.12462934106588364
1535385092207818.0,0.18414032459259033,0.21781086921691895,0.12426304072141647
1535385092208403.0,0.18413278460502625,0.21770058572292328,0.12384440749883652
1535385092209445.0,0.18413394689559937,0.21774783730506897,0.1240013986825943
1535385092210363.0,0.184136301279068,0.21781086921691895,0.12455956637859344
