x,y,vx,vy,vx_comp,vy_comp,x_rms,y_rms,vx_rms,vy_rms,rcs,pdh0,dyn_prop,ambig_state,valid_state
4.0,3.5,5.5,0.0,-0.07701050490140915,-0.06738419085741043,0.616,0.616,0.371,0.011,1.5,1.0,1.0,3.0,0.0
3.799999952316284,4.300000190734863,5.25,0.0,-0.12428809702396393,-0.14064180850982666,0.616,0.616,0.478,0.011,0.5,3.0,1.0,3.0,10.0
6.0,3.0999999046325684,5.75,0.0,-0.02302466705441475,-0.011896077543497086,0.616,0.616,0.288,0.011,-0.5,1.0,1.0,3.0,0.0
4.599999904632568,-5.099999904632568,6.75,0.0,0.14412802457809448,-0.15979412198066711,0.616,0.616,0.478,0.011,0.0,3.0,3.0,3.0,10.0
6.199999809265137,3.9000000953674316,5.75,0.0,0.0112726129591465,0.007090837694704533,0.616,0.616,0.371,0.011,-4.5,1.0,1.0,3.0,0.0
6.0,3.9000000953674316,5.75,0.0,0.016950849443674088,0.011018052697181702,0.616,0.616,0.371,0.011,-2.5,1.0,1.0,3.0,0.0
5.599999904632568,-5.900000095367432,6.75,0.0,0.1627100110054016,-0.17142662405967712,0.616,0.616,0.478,0.011,1.0,1.0,3.0,3.0,0.0
8.600000381469727,3.0999999046325684,5.75,0.0,-0.08106070756912231,-0.029219554737210274,0.616,0.616,0.288,0.011,2.0,1.0,1.0,3.0,0.0
10.199999809265137,-6.099999904632568,6.5,0.25,0.09269877523183823,-0.05543750151991844,0.616,0.616,0.371,0.011,6.0,1.0,1.0,3.0,0.0
10.0,-6.5,6.5,0.25,0.06474348902702332,-0.0420832633972168,0.616,0.616,0.371,0.011,2.0,1.0,1.0,3.0,0.0
13.199999809265137,2.700000047683716,6.0,0.25,0.14132119715213776,0.02890661172568798,0.616,0.616,0.288,0.011,3.5,1.0,1.0,3.0,0.0
13.600000381469727,2.5,6.0,0.25,0.12939956784248352,0.02378668636083603,0.616,0.616,0.288,0.011,3.5,1.0,1.0,3.0,0.0
16.0,1.899999976158142,6.0,0.25,0.09022616595029831,0.01071435771882534,0.616,0.616,0.288,0.011,6.0,1.0,1.0,3.0,0.0
13.800000190734863,8.5,5.5,0.25,-0.06199287623167038,-0.038184016942977905,0.616,0.616,0.371,0.011,-1.0,1.0,3.0,3.0,0.0
16.399999618530273,0.30000001192092896,5.25,0.25,-0.7235193848609924,-0.013235111720860004,1.023,0.616,0.288,0.011,-5.0,1.0,3.0,3.0,16.0
15.600000381469727,-7.5,6.25,0.25,-0.03896041214466095,0.01873096637427807,0.616,0.616,0.288,0.011,-3.5,1.0,1.0,3.0,0.0
17.799999237060547,0.10000000149011612,5.25,0.25,-0.7319718599319458,-0.004112201742827892,0.616,0.616,0.288,0.011,5.0,1.0,3.0,3.0,0.0
18.0,1.899999976158142,6.0,0.25,0.08201322704553604,0.00865695159882307,0.616,0.616,0.288,0.011,-4.5,1.0,1.0,3.0,0.0
18.399999618530273,-6.900000095367432,6.25,0.25,0.018187593668699265,-0.006820347625762224,0.616,0.616,0.288,0.011,-4.5,3.0,1.0,3.0,4.0
